id	text	classification
124	The movie is pretty funny now and then without in any way demeaning its subjects .	pos
125	imagine a scenario where Bergman approaches Swedish fatalism using Gary Larson 's Far Side humor	pos
126	Too damn weird to pass up , and for the blacklight crowd , way cheaper ( and better ) than Pink Floyd tickets .	pos
127	It is most remarkable not because of its epic scope , but because of the startling intimacy it achieves despite that breadth .	pos
128	It 's not a great monster movie .	neg
132	Others , more attuned to the anarchist maxim that ` the urge to destroy is also a creative urge ' , or more willing to see with their own eyes , will find Morrison 's iconoclastic uses of technology to be liberating .	pos
133	Miller tells this very compelling tale with little fuss or noise , expertly plucking tension from quiet .	pos
134	Time Out is existential drama without any of the pretension associated with the term .	pos
135	It 's a sweet , laugh-a-minute crowd pleaser that lifts your spirits as well as the corners of your mouth .	pos
136	Writer/director Alexander Payne ( Election ) and his co-writer Jim Taylor brilliantly employ their quirky and fearless ability to look American angst in the eye and end up laughing .	pos
138	It 's tough to watch , but it 's a fantastic movie .	pos
139	The best animated feature to hit theaters since Beauty and the Beast 11 years ago .	pos
140	What saves this deeply affecting film from being merely a collection of wrenching cases is Corcuera 's attention to detail .	pos
141	Pacino is the best he 's been in years and Keener is marvelous .	pos
142	A solid , spooky entertainment worthy of the price of a ticket .	pos
143	By turns fanciful , grisly and engagingly quixotic .	pos
144	... very funny , very enjoyable ...	pos
145	Adaptation is intricately constructed and in a strange way nails all of Orlean 's themes without being a true adaptation of her book .	pos
146	So purely enjoyable that you might not even notice it 's a fairly straightforward remake of Hollywood comedies such as Father of the Bride .	pos
147	Moonlight Mile gives itself the freedom to feel contradictory things .	pos
148	It is sentimental but feels free to offend , is analytical and then surrenders to the illogic of its characters , is about grief and yet permits laughter .	pos
149	The real triumphs in Igby come from Philippe , who makes Oliver far more interesting than the character 's lines would suggest , and Sarandon , who could n't be better as a cruel but weirdly likable WASP matron .	pos
150	Robin Williams has thankfully ditched the saccharine sentimentality of Bicentennial Man in favour of an altogether darker side .	pos
151	If you 're willing to have fun with it , you wo n't feel cheated by the high infidelity of Unfaithful .	pos
152	Australia : Land Beyond Time is an enjoyable Big Movie primarily because Australia is a weirdly beautiful place .	pos
153	Hoffman 's performance is authentic to the core of his being .	pos
154	Told just proficiently enough to trounce its overly comfortable trappings .	pos
155	An enthralling aesthetic experience , one that 's steeped in mystery and a ravishing , baroque beauty .	pos
156	The quirky drama touches the heart and the funnybone thanks to the energetic and always surprising performance by Rachel Griffiths .	pos
157	A captivating coming-of-age story that may also be the first narrative film to be truly informed by the wireless age .	pos
158	What could have been a daytime soap opera is actually a compelling look at a young woman 's tragic odyssey .	pos
159	Duvall is strong as always .	pos
160	A no-holds-barred cinematic treat .	pos
161	You 'd have to be a most hard-hearted person not to be moved by this drama .	pos
162	Allen 's underestimated charm delivers more goodies than lumps of coal .	pos
163	Measured against practically any like-themed film other than its Oscar-sweeping franchise predecessor The Silence of the Lambs , Red Dragon rates as an exceptional thriller .	pos
165	Maelstrom is strange and compelling , engrossing and different , a moral tale with a twisted sense of humor .	pos
166	It makes you believe the cast and crew thoroughly enjoyed themselves and believed in their small-budget film .	pos
168	Too often , Son of the Bride becomes an exercise in trying to predict when a preordained `` big moment '' will occur and not `` if . ''	neg
169	The picture uses humor and a heartfelt conviction to tell a story about discovering your destination in life , but also acknowledging the places , and the people , from whence you came .	pos
171	A terrific insider look at the star-making machinery of tinseltown .	pos
172	It 's a diverting enough hour-and-a-half for the family audience .	pos
173	A party-hearty teen flick that scalds like acid .	neg
174	As giddy and whimsical and relevant today as it was 270 years ago .	pos
175	The film offers an intriguing what-if premise .	pos
176	The Pianist is the film Roman Polanski may have been born to make .	pos
177	This version does justice both to Stevenson and to the sci-fi genre .	pos
178	Poignant and delicately complex .	pos
179	Enough may pander to our basest desires for payback , but unlike many revenge fantasies , it ultimately delivers .	pos
180	Cho 's latest comic set is n't as sharp or as fresh as I 'm the One That I Want ... but it 's still damn funny stuff .	pos
181	In The Pianist , Polanski is saying what he has long wanted to say , confronting the roots of his own preoccupations and obsessions , and he allows nothing to get in the way .	pos
182	Despite the film 's shortcomings , the stories are quietly moving .	pos
184	If you come from a family that eats , meddles , argues , laughs , kibbitzes and fights together , then go see this delightful comedy .	pos
185	This bracingly truthful antidote to Hollywood teenage movies that slather Clearasil over the blemishes of youth captures the combustible mixture of a chafing inner loneliness and desperate grandiosity that tend to characterize puberty .	pos
187	It 's the filmmakers ' post-camp comprehension of what made old-time B movies good-bad that makes Eight Legged Freaks a perfectly entertaining summer diversion .	pos
188	The film 's strength is n't in its details , but in the larger picture it paints - of a culture in conflict with itself , with the thin veneer of nationalism that covers our deepest , media-soaked fears .	pos
190	It has its faults , but it is a kind , unapologetic , sweetheart of a movie , and Mandy Moore leaves a positive impression .	pos
191	The Saigon of 1952 is an uneasy mix of sensual delights and simmering violence , and The Quiet American brings us right into the center of that world .	pos
192	Despite its shortcomings , Girls Ca n't Swim represents an engaging and intimate first feature by a talented director to watch , and it 's a worthy entry in the French coming-of-age genre .	pos
194	With Dirty Deeds , David Caesar has stepped into the mainstream of filmmaking with an assurance worthy of international acclaim and with every cinematic tool well under his control -- driven by a natural sense for what works on screen .	pos
195	The humor and humanity of Monsoon Wedding are in perfect balance .	pos
196	Lookin ' for sin , American-style ?	neg
198	A compelling motion picture that illustrates an American tragedy .	pos
199	As comedic spotlights go , Notorious C.H.O. hits all the verbal marks it should .	pos
200	It 's a day at the beach -- with air conditioning and popcorn .	pos
201	Frida is n't that much different from many a Hollywood romance .	neg
202	What sets it apart is the vision that Taymor , the avant garde director of Broadway 's The Lion King and the film Titus , brings .	pos
203	Stevens has a flair for dialogue comedy , the film operates nicely off the element of surprise , and the large cast is solid .	pos
204	Extremely well acted by the four primary actors , this is a seriously intended movie that is not easily forgotten .	pos
205	The film exudes the urbane sweetness that Woody Allen seems to have bitterly forsaken .	pos
206	K-19 : The Widowmaker is derivative , overlong , and bombastic -- yet surprisingly entertaining .	pos
207	It 's good , hard-edged stuff , violent and a bit exploitative but also nicely done , morally alert and street-smart .	pos
208	Cineasts will revel in those visual in-jokes , as in the film 's verbal pokes at everything from the likes of Miramax chief Harvey Weinstein 's bluff personal style to the stylistic rigors of Denmark 's Dogma movement .	pos
209	It 's a rare window on an artistic collaboration .	pos
210	... begins with promise , but runs aground after being snared in its own tangled plot .	neg
211	Perhaps the best sports movie I 've ever seen .	pos
212	Cho 's timing is priceless .	pos
214	A sensitive , moving , brilliantly constructed work .	pos
215	An edgy thriller that delivers a surprising punch .	pos
216	A reasonably entertaining sequel to 1994 's surprise family hit that may strain adult credibility .	pos
217	( Reno ) delivers a monologue that manages to incorporate both the horror and the absurdity of the situation in a well-balanced fashion .	pos
218	there is truth here	pos
219	a confident , richly acted , emotionally devastating piece of work and 2002 's first great film	pos
220	A touching , small-scale story of family responsibility and care in the community .	pos
221	Arteta directs one of the best ensemble casts of the year	pos
222	The casting of von Sydow ... is itself Intacto 's luckiest stroke .	pos
223	No , it 's not as single-minded as John Carpenter 's original , but it 's sure a lot smarter and more unnerving than the sequels .	pos
224	A gem of a romantic crime comedy that turns out to be clever , amusing and unpredictable .	pos
225	Stands as one of the year 's most intriguing movie experiences , letting its imagery speak for it while it forces you to ponder anew what a movie can be .	pos
226	... the first 2/3 of the film are incredibly captivating and insanely funny , thanks in part to interesting cinematic devices ( cool visual backmasking ) , a solid cast , and some wickedly sick and twisted humor ...	pos
227	This movie got me grinning .	pos
228	There 's a part of us that can not help be entertained by the sight of someone getting away with something .	pos
229	An old-fashioned drama of substance about a teacher 's slide down the slippery slope of dishonesty after an encounter with the rich and the powerful who have nothing but disdain for virtue .	pos
230	What 's not to like about a movie with a ` children 's ' song that includes the line ` My stepdad 's not mean , he 's just adjusting ' ?	pos
232	The pleasures that it does afford may be enough to keep many moviegoers occupied amidst some of the more serious-minded concerns of other year-end movies .	pos
233	Not everyone will welcome or accept The Trials of Henry Kissinger as faithful portraiture , but few can argue that the debate it joins is a necessary and timely one .	pos
234	There are no special effects , and no Hollywood endings .	pos
235	Like the original , this version is raised a few notches above kiddie fantasy pablum by Allen 's astringent wit .	pos
236	Despite its Hawaiian setting , the science-fiction trimmings and some moments of rowdy slapstick , the basic plot of `` Lilo '' could have been pulled from a tear-stained vintage Shirley Temple script .	neg
238	Filled with honest performances and exceptional detail , Baran is a gentle film with dramatic punch , a haunting ode to humanity .	pos
240	In its dry and forceful way , it delivers the same message as Jiri Menzel 's Closely Watched Trains and Danis Tanovic 's No Man 's Land .	pos
241	... a triumph of emotionally and narratively complex filmmaking .	pos
243	Simply put , `` Far From Heaven '' is a masterpiece .	pos
244	An intense and effective film about loneliness and the chilly anonymity of the environments where so many of us spend so much of our time .	pos
245	Although fairly involving as far as it goes , the film does n't end up having much that is fresh to say about growing up Catholic or , really , anything .	neg
247	A very funny romantic comedy about two skittish New York middle-agers who stumble into a relationship and then struggle furiously with their fears and foibles .	pos
248	Top-notch action powers this romantic drama .	pos
249	Beresford nicely mixes in as much humor as pathos to take us on his sentimental journey of the heart .	pos
250	It really is a shame that more wo n't get an opportunity to embrace small , sweet ` Evelyn . '	pos
251	I stopped thinking about how good it all was , and started doing nothing but reacting to it - feeling a part of its grand locations , thinking urgently as the protagonists struggled , feeling at the mercy of its inventiveness , gasping at its visual delights .	pos
252	Probably the best case for Christianity since Chesterton and Lewis .	pos
253	A gently funny , sweetly adventurous film that makes you feel genuinely good , that is to say , entirely unconned by false sentiment or sharp , overmanipulative Hollywood practices .	pos
254	Would be an unendurable viewing experience for this ultra-provincial New Yorker if 26-year-old Reese Witherspoon were not on hand to inject her pure fantasy character , Melanie Carmichael , with a massive infusion of old-fashioned Hollywood magic .	pos
255	Visually fascinating ... an often intense character study about fathers and sons , loyalty and duty .	pos
256	A lyrical metaphor for cultural and personal self-discovery and a picaresque view of a little-remembered world .	pos
257	Schütte 's dramatic snapshot of the artist three days before his death offers an interesting bit of speculation as to the issues Brecht faced as his life drew to a close .	pos
258	A slick , engrossing melodrama .	pos
259	S1M0NE 's satire is not subtle , but it is effective .	pos
260	It 's a quirky , off-beat project .	pos
261	While some will object to the idea of a Vietnam picture with such a rah-rah , patriotic tone , Soldiers ultimately achieves its main strategic objective : dramatizing the human cost of the conflict that came to define a generation .	neg
262	Even if you do n't know the band or the album 's songs by heart , you will enjoy seeing how both evolve , and you will also learn a good deal about the state of the music business in the 21st Century .	pos
263	The solid filmmaking and convincing characters makes this a high water mark for this genre .	pos
264	Films about loss , grief and recovery are pretty valuable these days .	pos
265	Seen in that light , Moonlight Mile should strike a nerve in many .	pos
266	It 's endlessly inventive , consistently intelligent and sickeningly savage .	pos
267	It is definitely worth seeing .	pos
268	An impeccable study in perversity .	pos
269	Far From Heaven is a dazzling conceptual feat , but more than that , it 's a work of enthralling drama .	pos
270	A movie that both thrills the eye and , in its over-the-top way , touches the heart .	pos
271	Stuffed to the brim with ideas , American instigator Michael Moore 's film is a rambling examination of American gun culture that uses his usual modus operandi of crucifixion through juxtaposition .	pos
272	Affectionately reminds us that , in any language , the huge stuff in life can usually be traced back to the little things .	pos
274	The large-frame IMAX camera lends itself beautifully to filming the teeming life on the reefs , making this gorgeous film a must for everyone from junior scientists to grown-up fish lovers .	pos
276	A story about intelligent high school students that deals with first love sweetly but also seriously .	pos
277	It is also beautifully acted .	pos
280	It 's a technically superb film , shining with all the usual Spielberg flair , expertly utilizing the talents of his top-notch creative team .	pos
281	Wilco fans will have a great time , and the movie should win the band a few new converts , too .	pos
282	Tsai has a well-deserved reputation as one of the cinema world 's great visual stylists , and in this film , every shot enhances the excellent performances .	pos
284	The fact is that the screen is most alive when it seems most likely that Broomfield 's interviewees , or even himself , will not be for much longer .	pos
285	Leguizamo and Jones are both excellent and the rest of the cast is uniformly superb .	pos
286	I liked this film a lot ...	pos
287	... there is enough originality in ` Life ' to distance it from the pack of paint-by-number romantic comedies that so often end up on cinema screens .	pos
288	A solid and refined piece of moviemaking imbued with passion and attitude .	pos
289	Nettelbeck has crafted an engaging fantasy of flavours and emotions , one part romance novel , one part recipe book .	pos
290	With or without the sex , a wonderful tale of love and destiny , told well by a master storyteller	pos
291	On the surface a silly comedy , Scotland , PA would be forgettable if it were n't such a clever adaptation of the bard 's tragic play .	pos
292	A weird , arresting little ride .	pos
294	A first-class road movie that proves you can run away from home , but your ego and all your problems go with you .	pos
295	You might want to take a reality check before you pay the full ticket price to see `` Simone , '' and consider a DVD rental instead .	neg
296	Well cast and well directed - a powerful drama with enough sardonic wit to keep it from being maudlin .	pos
297	A backstage must-see for true fans of comedy .	pos
298	There 's back-stabbing , inter-racial desire and , most importantly , singing and dancing .	pos
299	The film sounds like the stuff of lurid melodrama , but what makes it interesting as a character study is the fact that the story is told from Paul 's perspective .	pos
300	Jones ... makes a great impression as the writer-director of this little $ 1.8 million charmer , which may not be cutting-edge indie filmmaking but has a huge heart .	pos
301	In the disturbingly involving family dysfunctional drama How I Killed My Father , French director Anne Fontaine delivers an inspired portrait of male-ridden angst and the emotional blockage that accompanies this human condition	pos
302	Below may not mark Mr. Twohy 's emergence into the mainstream , but his promise remains undiminished .	pos
303	There 's no reason to miss Interview with the Assassin	pos
304	Happily stays close to the ground in a spare and simple manner and does n't pummel us with phony imagery or music .	pos
305	Its sheer dynamism is infectious .	pos
306	For his first attempt at film noir , Spielberg presents a fascinating but flawed look at the near future .	pos
308	Perhaps it 's cliche to call the film ` refreshing , ' but it is .	pos
309	` Drumline ' shows a level of young , Black manhood that is funny , touching , smart and complicated .	pos
310	It does give a taste of the Burning Man ethos , an appealing blend of counter-cultural idealism and hedonistic creativity .	pos
312	The movie is well done , but slow .	neg
313	( A ) wonderfully loopy tale of love , longing , and voting .	pos
314	The fascination comes in the power of the Huston performance , which seems so larger than life and yet so fragile , and in the way the Ivan character accepts the news of his illness so quickly but still finds himself unable to react .	pos
315	The last scenes of the film are anguished , bitter and truthful .	pos
316	Mr. Koshashvili is a director to watch .	pos
317	Predictable storyline and by-the-book scripting is all but washed away by sumptuous ocean visuals and the cinematic stylings of director John Stockwell .	pos
318	Antwone Fisher certainly does the trick of making us care about its protagonist and celebrate his victories but , with few exceptions , it rarely stoops to cheap manipulation or corny conventions to do it .	pos
319	One feels the dimming of a certain ambition , but in its place a sweetness , clarity and emotional openness that recalls the classics of early Italian neorealism .	pos
320	It challenges , this nervy oddity , like modern art should .	pos
321	Whenever you think you 've figured out Late Marriage , it throws you for a loop .	pos
322	The Pianist is Polanski 's best film .	pos
324	This Orange has some juice , but it 's far from fresh-squeezed .	neg
325	A sensitive , modest comic tragedy that works as both character study and symbolic examination of the huge economic changes sweeping modern China .	pos
327	Cusack 's just brilliant in this .	pos
328	Knows how to make our imagination wonder .	pos
329	Jae-eun Jeong 's Take Care of My Cat brings a beguiling freshness to a coming-of-age story with such a buoyant , expressive flow of images that it emerges as another key contribution to the flowering of the South Korean cinema .	pos
330	The overall fabric is hypnotic , and Mr. Mattei fosters moments of spontaneous intimacy .	pos
331	Evokes a palpable sense of disconnection , made all the more poignant by the incessant use of cell phones .	pos
332	Malcolm McDowell is cool .	pos
333	Paul Bettany is cool .	pos
335	Cool .	pos
336	A touching , sophisticated film that almost seems like a documentary in the way it captures an Italian immigrant family on the brink of major changes .	pos
338	An inventive , absorbing movie that 's as hard to classify as it is hard to resist .	pos
339	It made me want to get made-up and go see this movie with my sisters .	pos
340	I thought the relationships were wonderful , the comedy was funny , and the love ` real ' .	pos
341	( Caine ) proves once again he has n't lost his touch , bringing off a superb performance in an admittedly middling film .	pos
342	Bogdanovich puts history in perspective and , via Kirsten Dunst 's remarkable performance , he showcases Davies as a young woman of great charm , generosity and diplomacy .	pos
343	This breezy caper movie becomes a soulful , incisive meditation on the way we were , and the way we are .	pos
344	A captivating new film .	pos
345	Those who are n't put off by the film 's austerity will find it more than capable of rewarding them .	pos
346	It 's a clear-eyed portrait of an intensely lived time , filled with nervous energy , moral ambiguity and great uncertainties .	pos
347	Reveals how important our special talents can be when put in service of of others .	pos
348	It also shows how deeply felt emotions can draw people together across the walls that might otherwise separate them .	pos
349	With the same sort of good-natured fun found in films like Tremors , Eight Legged Freaks is prime escapist fare .	pos
350	A sharp , amusing study of the cult of celebrity .	pos
351	The sentimental cliches mar an otherwise excellent film .	pos
352	A powerful performance from Mel Gibson and a brutal 90-minute battle sequence that does everything but issue you a dog-tag and an M-16 .	pos
353	A graceful , moving tribute to the courage of New York 's finest and a nicely understated expression of the grief shared by the nation at their sacrifice .	pos
354	A coming-of-age tale from New Zealand whose boozy , languid air is balanced by a rich visual clarity and deeply felt performances across the board .	pos
355	Made to be Jaglomized is the Cannes Film Festival , the annual Riviera spree of flesh , buzz , blab and money .	neg
356	The charming result is Festival in Cannes .	pos
357	If you 're looking for something new and hoping for something entertaining , you 're in luck .	pos
358	A hugely rewarding experience that 's every bit as enlightening , insightful and entertaining as Grant 's two best films -- Four Weddings and a Funeral and Bridget Jones 's Diary .	pos
359	A rip-roaring comedy action fest that 'll put hairs on your chest .	pos
360	If there 's no art here , it 's still a good yarn -- which is nothing to sneeze at these days .	pos
361	Simultaneously heart-breaking and very funny , The Last Kiss is really all about performances .	pos
362	There is a subversive element to this Disney cartoon , providing unexpected fizzability .	pos
363	An unforgettable look at morality , family , and social expectation through the prism of that omnibus tradition called marriage .	pos
364	An enjoyable , if occasionally flawed , experiment .	pos
365	Miyazaki is one of world cinema 's most wondrously gifted artists and storytellers .	pos
366	If Ayurveda can help us return to a sane regimen of eating , sleeping and stress-reducing contemplation , it is clearly a good thing .	pos
367	Meeting , even exceeding expectations , it 's the best sequel since The Empire Strikes Back ... a majestic achievement , an epic of astonishing grandeur and surprising emotional depth .	pos
368	Leigh is one of the rare directors who feels acting is the heart and soul of cinema .	pos
369	He allows his cast members to make creative contributions to the story and dialogue .	pos
370	This method almost never fails him , and it works superbly here .	pos
371	Poetry in motion captured on film .	pos
372	While it can be a bit repetitive , overall it 's an entertaining and informative documentary .	pos
373	Directing with a sure and measured hand , ( Haneke ) steers clear of the sensational and offers instead an unflinching and objective look at a decidedly perverse pathology .	pos
374	The entire movie establishes a wonderfully creepy mood .	pos
375	I found The Ring moderately absorbing , largely for its elegantly colorful look and sound .	pos
376	The filmmakers want nothing else than to show us a good time , and in their cheap , B movie way , they succeed .	pos
377	Amari has dressed up this little parable in a fairly irresistible package full of privileged moments and memorable performances .	pos
379	But it will just as likely make you weep , and it will do so in a way that does n't make you feel like a sucker .	pos
380	Both heartbreaking and heartwarming ... just a simple fable done in an artless sytle , but it 's tremendously moving .	pos
381	This masterfully calibrated psychological thriller thrives on its taut performances and creepy atmosphere even if the screenplay falls somewhat short .	pos
382	The film 's sense of imagery gives it a terrible strength , but it 's propelled by the acting .	pos
